epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,2.06591796875,,,,,
0,99,,1.8310482501983643,,,,,
0,149,,1.909956693649292,,,,,
0,199,,1.7828792333602905,,,,,
0,249,,1.926592469215393,,,,,
0,299,,1.8454631567001343,,,,,
0,349,,2.0489039421081543,,,,,
0,399,,1.9340994358062744,,,,,
0,449,,2.0168089866638184,,,,,
0,499,,1.9835700988769531,,,,,
0,502,,,0.35464587807655334,16357285.0,0.5908116102218628,0.45452770590782166,1.8738292455673218
0,502,1.9140843152999878,,,,,,
1,549,,1.9716743230819702,,,,,
1,599,,2.067207098007202,,,,,
1,649,,1.8208763599395752,,,,,
1,699,,1.9633808135986328,,,,,
1,749,,1.9584531784057617,,,,,
1,799,,1.9877334833145142,,,,,
1,849,,1.8656734228134155,,,,,
1,899,,1.9952266216278076,,,,,
1,949,,2.1953535079956055,,,,,
1,999,,1.888226866722107,,,,,
1,1005,,,0.35464587807655334,16357285.0,0.5908116102218628,0.45452770590782166,1.8755892515182495
1,1005,1.9195339679718018,,,,,,
2,1049,,1.8963406085968018,,,,,
2,1099,,1.8679243326187134,,,,,
2,1149,,1.849722146987915,,,,,
2,1199,,1.9193538427352905,,,,,
2,1249,,1.9053725004196167,,,,,
2,1299,,2.0337517261505127,,,,,
2,1349,,1.8410985469818115,,,,,
2,1399,,1.9398630857467651,,,,,
2,1449,,1.9119304418563843,,,,,
2,1499,,1.8842767477035522,,,,,
2,1508,,,0.35464587807655334,16357285.0,0.5908116102218628,0.45452770590782166,1.8713867664337158
2,1508,1.9218170642852783,,,,,,
3,1549,,1.7728993892669678,,,,,
3,1599,,1.7872499227523804,,,,,
3,1649,,1.9744056463241577,,,,,
3,1699,,2.0031864643096924,,,,,
3,1749,,1.8516572713851929,,,,,
3,1799,,2.0674357414245605,,,,,
3,1849,,1.9219162464141846,,,,,
3,1899,,1.8573335409164429,,,,,
3,1949,,1.8428351879119873,,,,,
3,1999,,2.019355058670044,,,,,
3,2011,,,0.35464587807655334,16357285.0,0.5908116102218628,0.45452770590782166,1.867535948753357
3,2011,1.911222219467163,,,,,,
4,2049,,1.8571892976760864,,,,,
4,2099,,1.970476508140564,,,,,
4,2149,,2.053494691848755,,,,,
4,2199,,2.0853946208953857,,,,,
4,2249,,1.9569885730743408,,,,,
4,2299,,1.9107602834701538,,,,,
4,2349,,2.019880771636963,,,,,
4,2399,,1.8850898742675781,,,,,
4,2449,,1.849401831626892,,,,,
4,2499,,2.0011074542999268,,,,,
4,2514,,,0.35464587807655334,16357285.0,0.5908116102218628,0.45452770590782166,1.8726166486740112
4,2514,1.9235140085220337,,,,,,
5,2549,,1.7855409383773804,,,,,
5,2599,,1.8912523984909058,,,,,
5,2649,,1.9849239587783813,,,,,
5,2699,,1.835845947265625,,,,,
5,2749,,1.8671852350234985,,,,,
5,2799,,1.7957181930541992,,,,,
5,2849,,2.0525364875793457,,,,,
5,2899,,2.0828335285186768,,,,,
5,2949,,1.8213895559310913,,,,,
5,2999,,1.9470953941345215,,,,,
5,3017,,,0.35464587807655334,16357285.0,0.5908116102218628,0.45452770590782166,1.8686771392822266
5,3017,1.9177942276000977,,,,,,
6,3049,,1.784489393234253,,,,,
6,3099,,1.9004062414169312,,,,,
6,3149,,1.9457234144210815,,,,,
6,3199,,1.9583873748779297,,,,,
6,3249,,1.8282005786895752,,,,,
6,3299,,2.0562260150909424,,,,,
6,3349,,1.9718291759490967,,,,,
6,3399,,1.9199604988098145,,,,,
6,3449,,2.00886607170105,,,,,
6,3499,,2.0289859771728516,,,,,
6,3520,,,0.35464587807655334,16357285.0,0.5908116102218628,0.45452770590782166,1.8704334497451782
6,3520,1.9167506694793701,,,,,,
