epoch,step,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,1.6047252416610718,,,,,
0,99,1.773193359375,,,,,
0,100,,0.32691481709480286,13849614.0,0.5654293894767761,0.40260469913482666,1.7870163917541504
