epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,48,,,0.8463672995567322,38814808.0,1.1113011837005615,0.9310216903686523,1.0862008333206177
0,48,1.0954421758651733,,,,,,
1,49,,1.0837233066558838,,,,,
1,97,,,0.7955240607261658,26247434.0,1.0426145792007446,0.9565537571907043,1.08787202835083
1,97,1.0818268060684204,,,,,,
2,99,,1.0656882524490356,,,,,
2,146,,,0.7723245024681091,18959806.0,1.0165547132492065,0.9519094228744507,1.1133859157562256
2,146,1.0636810064315796,,,,,,
3,149,,1.1126779317855835,,,,,
3,195,,,0.7803308963775635,19678484.0,1.037203311920166,0.952476978302002,1.0941847562789917
3,195,1.0489237308502197,,,,,,
4,199,,1.0719733238220215,,,,,
4,244,,,0.814089834690094,28094566.0,1.0970875024795532,0.9479801058769226,1.0932363271713257
4,244,1.0343897342681885,,,,,,
5,249,,1.0326175689697266,,,,,
5,293,,,0.7716311812400818,32409762.0,1.0428755283355713,0.8821225762367249,1.0951995849609375
5,293,1.022593379020691,,,,,,
