epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,1.6645931005477905,,,,,
0,99,,2.0726773738861084,,,,,
0,149,,2.0267436504364014,,,,,
0,199,,1.6237558126449585,,,,,
0,201,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,1.8184701204299927
0,201,1.8217352628707886,,,,,,
1,249,,1.8382446765899658,,,,,
1,299,,1.8370364904403687,,,,,
1,349,,1.7911899089813232,,,,,
1,399,,1.6928304433822632,,,,,
1,403,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,1.8185396194458008
1,403,1.819174885749817,,,,,,
2,449,,1.5409027338027954,,,,,
2,499,,1.7771183252334595,,,,,
2,549,,1.7290520668029785,,,,,
2,599,,1.7728605270385742,,,,,
2,605,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,1.8186198472976685
2,605,1.8035624027252197,,,,,,
3,649,,1.5756151676177979,,,,,
3,699,,1.7304608821868896,,,,,
3,749,,2.0265302658081055,,,,,
3,799,,1.8365075588226318,,,,,
3,807,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,1.8159831762313843
3,807,1.8102704286575317,,,,,,
4,849,,1.8716171979904175,,,,,
4,899,,1.8574382066726685,,,,,
4,949,,1.8264827728271484,,,,,
4,999,,2.0596566200256348,,,,,
4,1009,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,1.8160804510116577
4,1009,1.81601881980896,,,,,,
5,1049,,1.6907305717468262,,,,,
5,1099,,1.9333674907684326,,,,,
5,1149,,1.788900375366211,,,,,
5,1199,,1.7088384628295898,,,,,
5,1211,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,1.816016435623169
5,1211,1.8129888772964478,,,,,,
6,1249,,2.0834906101226807,,,,,
6,1299,,1.6058815717697144,,,,,
6,1349,,1.8046767711639404,,,,,
6,1399,,1.9529926776885986,,,,,
6,1413,,,0.33854833245277405,14713321.0,0.576539158821106,0.42187681794166565,1.8161488771438599
6,1413,1.7910341024398804,,,,,,
