epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,10,,,1.0599865913391113,0.6865047216415405,1.341524362564087,1.373009443283081,1.1113018989562988
0,10,1.1105256080627441,,,,,,
1,21,,,0.9348852634429932,57638332.0,1.241917371749878,0.8562753200531006,1.0899662971496582
1,21,1.092729091644287,,,,,,
2,32,,,0.9449391961097717,5870446.0,1.2332415580749512,1.1958165168762207,1.111952543258667
2,32,1.071182131767273,,,,,,
3,43,,,0.9134953022003174,21761134.0,1.207909345626831,1.082816243171692,1.116079568862915
3,43,1.0621590614318848,,,,,,
4,49,,1.022400140762329,,,,,
4,54,,,0.8814439177513123,13171390.0,1.1519395112991333,1.0928925275802612,1.0990039110183716
4,54,1.0580984354019165,,,,,,
5,65,,,0.8695681095123291,33076924.0,1.145551085472107,1.0083222389221191,1.090569019317627
5,65,1.0483341217041016,,,,,,
6,76,,,0.920512855052948,6005398.0,1.2092289924621582,1.157039999961853,1.114062786102295
6,76,1.0426815748214722,,,,,,
