iter	RMSE
0	0.08041408489
1	0.08036337562
2	0.08031453143
3	0.08026318502
4	0.08021224706
5	0.08016489968
6	0.08011733226
7	0.08006863615
8	0.08001888738
9	0.07997130674
10	0.07992285044
11	0.07987626447
12	0.07983821019
13	0.07979016927
14	0.07974470106
15	0.07970374669
16	0.07965707062
17	0.07960862899
18	0.07956949205
19	0.07952632024
20	0.07948075866
21	0.07944448889
22	0.07939805565
23	0.07935024367
24	0.07930983008
25	0.07926534671
26	0.07921699295
27	0.07917320759
28	0.07913189253
29	0.07909548773
30	0.07905571756
31	0.0790167651
32	0.07897852065
33	0.07893271226
34	0.07889818532
35	0.07885544788
36	0.07881320353
37	0.07876390327
38	0.07871691717
39	0.07866950224
40	0.07862356964
41	0.07858078849
42	0.07854423398
43	0.07850953816
44	0.07846481559
45	0.07842157691
46	0.07838214717
47	0.07833582987
48	0.07828961416
49	0.07824836953
50	0.07820631392
51	0.07816032937
52	0.07812449525
53	0.07807694136
54	0.07803235295
55	0.07798915178
56	0.07794589931
57	0.07790111318
58	0.07785936269
59	0.07781987585
60	0.07778163473
61	0.07773955373
62	0.0777068851
63	0.07766436586
64	0.07762680184
65	0.07758323101
66	0.07754435499
67	0.07750822133
68	0.0774691775
69	0.07743072238
70	0.07739157652
71	0.07734435379
72	0.07730399006
73	0.07726738394
74	0.07723185878
75	0.07719706312
76	0.07716415638
77	0.07713539731
78	0.07709967037
79	0.07706512
80	0.07702907346
81	0.07699004922
82	0.07695225732
83	0.07691751564
84	0.07688638272
85	0.07685045431
86	0.07682087947
87	0.07678650015
88	0.07675572365
89	0.07672370456
90	0.07668716647
91	0.07665301848
92	0.07661183338
93	0.07658056053
94	0.07655149291
95	0.07651845964
96	0.07648355123
97	0.07645374478
98	0.07642581956
99	0.0763927614
