epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.8050863146781921,,,,,
0,99,,0.8316733241081238,,,,,
0,149,,0.9354149103164673,,,,,
0,199,,0.8559156656265259,,,,,
0,249,,0.8623984456062317,,,,,
0,299,,0.9094806909561157,,,,,
0,301,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,0.8822423815727234
0,301,0.8894929885864258,,,,,,
1,349,,0.8759695291519165,,,,,
1,399,,0.8908399343490601,,,,,
1,449,,0.9303186535835266,,,,,
1,499,,0.8431340456008911,,,,,
1,549,,0.8898149132728577,,,,,
1,599,,0.859192967414856,,,,,
1,603,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,0.8814758062362671
1,603,0.8924883008003235,,,,,,
2,649,,0.8326129913330078,,,,,
2,699,,0.8950067162513733,,,,,
2,749,,0.9015091061592102,,,,,
2,799,,0.9288589358329773,,,,,
2,849,,0.9090937376022339,,,,,
2,899,,0.9622335433959961,,,,,
2,905,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,0.8848446011543274
2,905,0.8936331272125244,,,,,,
3,949,,0.8606133460998535,,,,,
3,999,,0.8981679081916809,,,,,
3,1049,,0.8520221710205078,,,,,
3,1099,,0.8748148679733276,,,,,
3,1149,,0.8768571615219116,,,,,
3,1199,,0.8644918203353882,,,,,
3,1207,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,0.8822887539863586
3,1207,0.8918779492378235,,,,,,
4,1249,,0.8190253376960754,,,,,
4,1299,,0.9521327614784241,,,,,
4,1349,,1.0069383382797241,,,,,
4,1399,,0.888830304145813,,,,,
4,1449,,0.9106777906417847,,,,,
4,1499,,0.8267833590507507,,,,,
4,1509,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,0.8815639019012451
4,1509,0.8945454359054565,,,,,,
