epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,1.087712287902832,,,,,
0,99,,1.060782790184021,,,,,
0,148,,,0.8040579557418823,48042324.0,1.0730814933776855,0.7915185689926147,1.0725032091140747
0,148,1.0860321521759033,,,,,,
1,149,,1.074127435684204,,,,,
1,199,,1.0799415111541748,,,,,
1,249,,1.0555012226104736,,,,,
1,297,,,0.7727689146995544,49113972.0,1.049888253211975,0.7763834595680237,1.0690571069717407
1,297,1.0667983293533325,,,,,,
2,299,,1.0536404848098755,,,,,
2,349,,1.0444433689117432,,,,,
2,399,,1.0942261219024658,,,,,
2,446,,,0.7972894310951233,45880124.0,1.086652159690857,0.7867348194122314,1.0590457916259766
2,446,1.0628098249435425,,,,,,
3,449,,1.0709680318832397,,,,,
3,499,,1.0503144264221191,,,,,
3,549,,1.0429767370224,,,,,
3,595,,,0.7885780334472656,36643936.0,1.0943653583526611,0.8338738083839417,1.05854332447052
3,595,1.0517511367797852,,,,,,
4,599,,1.0197885036468506,,,,,
4,649,,1.0472122430801392,,,,,
4,699,,1.0185048580169678,,,,,
