epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,1.8186534643173218,,,,,
0,99,,1.706451416015625,,,,,
0,100,,,0.32691481709480286,13849614.0,0.5654293894767761,0.40260469913482666,1.7786173820495605
0,100,1.7595778703689575,,,,,,
1,149,,1.5110470056533813,,,,,
1,199,,1.7674033641815186,,,,,
1,201,,,0.32691481709480286,13849614.0,0.5654293894767761,0.40260469913482666,1.7838069200515747
1,201,1.7318774461746216,,,,,,
2,249,,1.5305213928222656,,,,,
2,299,,1.8464328050613403,,,,,
2,302,,,0.40691474080085754,12862014.0,0.6420149207115173,0.5156072974205017,1.7806587219238281
2,302,1.739295244216919,,,,,,
3,349,,1.6084307432174683,,,,,
3,399,,1.6008923053741455,,,,,
3,403,,,0.32691481709480286,13849614.0,0.5654293894767761,0.40260469913482666,1.7798757553100586
3,403,1.7400699853897095,,,,,,
