epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,1.9551414251327515,,,,,
0,99,,1.8936054706573486,,,,,
0,149,,1.8606722354888916,,,,,
0,199,,1.6185965538024902,,,,,
0,249,,1.893991470336914,,,,,
0,299,,1.7688381671905518,,,,,
0,301,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,1.845376968383789
0,301,1.8610073328018188,,,,,,
1,349,,1.9015830755233765,,,,,
1,399,,1.9567267894744873,,,,,
1,449,,1.7704335451126099,,,,,
1,499,,1.8229808807373047,,,,,
1,549,,1.9336010217666626,,,,,
1,599,,1.9018949270248413,,,,,
1,603,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,1.840471863746643
1,603,1.8698115348815918,,,,,,
2,649,,1.6968249082565308,,,,,
2,699,,1.7193057537078857,,,,,
2,749,,1.964477300643921,,,,,
2,799,,1.9000731706619263,,,,,
2,849,,1.8014516830444336,,,,,
2,899,,1.9144054651260376,,,,,
2,905,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,1.8431615829467773
2,905,1.8606160879135132,,,,,,
3,949,,1.865892767906189,,,,,
3,999,,1.9998854398727417,,,,,
3,1049,,1.9333984851837158,,,,,
3,1099,,1.6465637683868408,,,,,
3,1149,,1.802579402923584,,,,,
3,1199,,1.8741896152496338,,,,,
3,1207,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,1.8418564796447754
3,1207,1.864606261253357,,,,,,
4,1249,,1.834882378578186,,,,,
4,1299,,1.793522834777832,,,,,
4,1349,,1.6895936727523804,,,,,
4,1399,,1.8970203399658203,,,,,
4,1449,,1.9362781047821045,,,,,
4,1499,,1.7253754138946533,,,,,
4,1509,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,1.8391542434692383
4,1509,1.8581417798995972,,,,,,
5,1549,,1.8809131383895874,,,,,
5,1599,,1.9301185607910156,,,,,
5,1649,,1.9250590801239014,,,,,
5,1699,,2.0133743286132812,,,,,
5,1749,,1.8872191905975342,,,,,
5,1799,,1.7356135845184326,,,,,
5,1811,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,1.840083122253418
5,1811,1.8619459867477417,,,,,,
6,1849,,1.8441053628921509,,,,,
6,1899,,1.8033733367919922,,,,,
6,1949,,1.8189812898635864,,,,,
6,1999,,1.7395110130310059,,,,,
6,2049,,1.9181129932403564,,,,,
6,2099,,1.6606428623199463,,,,,
6,2113,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,1.840012788772583
6,2113,1.860296368598938,,,,,,
7,2149,,1.9518661499023438,,,,,
7,2199,,1.9536117315292358,,,,,
7,2249,,1.8113991022109985,,,,,
7,2299,,1.7946888208389282,,,,,
7,2349,,1.9373667240142822,,,,,
7,2399,,1.852955937385559,,,,,
7,2415,,,0.34603580832481384,15311514.0,0.5832995176315308,0.43484434485435486,1.8394038677215576
7,2415,1.861378788948059,,,,,,
