epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,1.8957254886627197,,,,,
0,99,,1.8097139596939087,,,,,
0,149,,1.9799811840057373,,,,,
0,199,,1.9177792072296143,,,,,
0,249,,1.8453338146209717,,,,,
0,299,,1.8702090978622437,,,,,
0,349,,1.8604825735092163,,,,,
0,399,,1.9194620847702026,,,,,
0,401,,,0.3504745662212372,15771660.0,0.5876498222351074,0.4439387619495392,1.853252649307251
0,401,1.9026247262954712,,,,,,
1,449,,1.8714017868041992,,,,,
1,499,,1.7592723369598389,,,,,
1,549,,1.8692188262939453,,,,,
1,599,,1.9031927585601807,,,,,
1,649,,1.7888965606689453,,,,,
1,699,,1.9143482446670532,,,,,
1,749,,1.9608830213546753,,,,,
1,799,,1.9016590118408203,,,,,
1,803,,,0.3504745662212372,15771660.0,0.5876498222351074,0.4439387619495392,1.855438232421875
1,803,1.8923159837722778,,,,,,
2,849,,2.086069345474243,,,,,
2,899,,1.8916343450546265,,,,,
2,949,,1.8938175439834595,,,,,
2,999,,1.8908934593200684,,,,,
2,1049,,1.8331272602081299,,,,,
2,1099,,1.7794135808944702,,,,,
2,1149,,1.9955024719238281,,,,,
2,1199,,1.8250643014907837,,,,,
2,1205,,,0.3504745662212372,15771660.0,0.5876498222351074,0.4439387619495392,1.8539233207702637
2,1205,1.8988304138183594,,,,,,
3,1249,,1.9574090242385864,,,,,
3,1299,,2.061022996902466,,,,,
3,1349,,1.8950631618499756,,,,,
3,1399,,1.6799967288970947,,,,,
3,1449,,1.7426478862762451,,,,,
3,1499,,2.0115795135498047,,,,,
3,1549,,1.886664628982544,,,,,
3,1599,,1.8395812511444092,,,,,
3,1607,,,0.3504745662212372,15771660.0,0.5876498222351074,0.4439387619495392,1.8540197610855103
3,1607,1.8944244384765625,,,,,,
